,retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,operating_margin,sales_method
0,Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,50.0,1200,600000.0,300000.0,0.5,In-store
1,Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,1000,500000.0,150000.0,0.3,In-store
2,Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,40.0,1000,400000.0,140000.0,0.35,In-store
3,Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,850,382500.0,133875.0,0.35,In-store
4,Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,In-store
5,Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,50.0,1000,500000.0,125000.0,0.25,In-store
6,Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,50.0,1250,625000.0,312500.0,0.5,In-store
7,Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450000.0,135000.0,0.3,Outlet
8,Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet
9,Foot Locker,1185732,1/22/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371250.0,129938.0,0.35,Outlet
10,Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,Outlet
11,Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,50.0,1000,500000.0,125000.0,0.25,Outlet
12,Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,50.0,1220,610000.0,305000.0,0.5,Outlet
13,Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,925,462500.0,138750.0,0.3,Outlet
14,Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet
15,Foot Locker,1185732,1/28/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,800,360000.0,126000.0,0.35,Outlet
16,Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,60.0,850,510000.0,153000.0,0.3,Outlet
17,Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,50.0,950,475000.0,118750.0,0.25,Outlet
18,Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,50.0,1200,600000.0,300000.0,0.5,Outlet
19,Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450000.0,135000.0,0.3,Outlet
20,Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,40.0,900,360000.0,126000.0,0.35,Outlet
21,Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371250.0,129938.0,0.35,Outlet
22,Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Men's Apparel,60.0,825,495000.0,148500.0,0.3,Outlet
23,Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,50.0,950,475000.0,118750.0,0.25,Outlet
24,Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,60.0,1220,732000.0,366000.0,0.5,Outlet
25,Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,925,508750.0,152625.0,0.3,Outlet
26,Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,50.0,900,450000.0,157500.0,0.35,Outlet
27,Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,850,425000.0,148750.0,0.35,Outlet
28,Foot Locker,1185732,2/10/2020,Northeast,New York,New York,Men's Apparel,60.0,875,525000.0,157500.0,0.3,Outlet
29,Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,65.0,1000,650000.0,162500.0,0.25,Outlet
30,Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,60.0,1250,750000.0,375000.0,0.5,Outlet
31,Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000,550000.0,165000.0,0.3,Outlet
32,Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,50.0,925,462500.0,161875.0,0.35,Outlet
33,Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000.0,157500.0,0.35,Outlet
34,Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,Outlet
35,Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,65.0,1050,682500.0,170625.0,0.25,Outlet
36,Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,60.0,1275,765000.0,382500.0,0.5,Outlet
37,Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,1025,563750.0,169125.0,0.3,Outlet
38,Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,50.0,950,475000.0,166250.0,0.35,Outlet
39,Foot Locker,1185732,3/13/2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000.0,157500.0,0.35,Outlet
40,Foot Locker,1185732,3/14/2020,Northeast,New York,New York,Men's Apparel,60.0,925,555000.0,166500.0,0.3,Outlet
41,Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,65.0,1100,715000.0,178750.0,0.25,Outlet
42,Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,60.0,1250,750000.0,375000.0,0.5,Outlet
43,Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,1025,563750.0,169125.0,0.3,Outlet
44,Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,50.0,950,475000.0,166250.0,0.35,Outlet
45,Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,925,462500.0,161875.0,0.35,Outlet
46,Walmart,1185732,4/17/2020,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,Outlet
47,Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,65.0,1075,698750.0,174688.0,0.25,Outlet
48,Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,60.0,1200,720000.0,360000.0,0.5,Outlet
49,Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000,550000.0,165000.0,0.3,Outlet
50,Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,50.0,925,462500.0,161875.0,0.35,Outlet
51,Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000.0,157500.0,0.35,Outlet
52,Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,Outlet
53,Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,65.0,1000,650000.0,162500.0,0.25,Outlet
54,Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,65.0,875,568750.0,170625.0,0.3,Outlet
55,Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,70.0,1000,700000.0,175000.0,0.25,Outlet
56,Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,65.0,1150,747500.0,373750.0,0.5,Outlet
57,Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,975,536250.0,160875.0,0.3,Outlet
58,Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,55.0,920,506000.0,177100.0,0.35,Outlet
59,Walmart,1185732,4/30/2020,Northeast,New York,New York,Women's Athletic Footwear,55.0,900,495000.0,173250.0,0.35,Outlet
60,Walmart,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,65.0,875,568750.0,170625.0,0.3,Outlet
61,Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,70.0,975,682500.0,170625.0,0.25,Outlet
62,Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,65.0,1200,780000.0,390000.0,0.5,Outlet
63,Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000,550000.0,165000.0,0.3,Outlet
64,Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,55.0,950,522500.0,182875.0,0.35,Outlet
65,Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,55.0,900,495000.0,173250.0,0.35,Outlet
66,Walmart,1185732,5/7/2020,Northeast,New York,New York,Men's Apparel,65.0,900,585000.0,175500.0,0.3,Outlet
67,Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,70.0,1000,700000.0,175000.0,0.25,Outlet
