id,month_year,region,site_name,work_site_status,kpi_source,lob,kpi_name_w_subtypes,numerator,denominator,kpi_value,goal,kpi_attainment,goal_type,kpi_unit_of_measure,kpi_attainment_v2,kpi_value_vs_goal,kpi_value2,kpi_value_2,month,year
0,2023JAN,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,ALE,Accuracy ALE,"34,177.00","62,459.00",0.55,0.35,1.0,higher is better,%,1,0.2,0.55,0.55,1,2023
1,2023FEB,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,ALE,Accuracy ALE,"31,895.00","53,425.00",0.6,0.37,1.0,higher is better,%,1,0.23,0.60,0.60,2,2023
2,2023MAR,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,ALE,Accuracy ALE,"27,622.00","52,089.00",0.53,0.37,1.0,higher is better,%,1,0.16,0.53,0.53,3,2023
3,2023APR,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,ALE,Accuracy ALE,"27,876.00","50,442.00",0.55,0.37,1.0,higher is better,%,1,0.18,0.55,0.55,4,2023
4,2023JAN,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,ALE,Precision ALE,"20,718.00","26,196.00",0.79,0.7,1.0,higher is better,%,1,0.09,0.79,0.79,1,2023
5,2023FEB,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,ALE,Precision ALE,"20,309.00","23,713.00",0.86,0.73,1.0,higher is better,%,1,0.12,0.86,0.86,2,2023
6,2023MAR,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,ALE,Precision ALE,"20,612.00","24,803.00",0.83,0.73,1.0,higher is better,%,1,0.1,0.83,0.83,3,2023
7,2023APR,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,ALE,Precision ALE,"19,249.00","24,374.00",0.79,0.73,1.0,higher is better,%,1,0.05,0.79,0.79,4,2023
8,2023JAN,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,ALE,Recall ALE,"20,718.00","28,924.00",0.72,0.56,1.0,higher is better,%,1,0.16,0.72,0.72,1,2023
9,2023FEB,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,ALE,Recall ALE,"20,309.00","27,166.00",0.75,0.61,1.0,higher is better,%,1,0.14,0.75,0.75,2,2023
10,2023MAR,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,ALE,Recall ALE,"20,612.00","26,504.00",0.78,0.61,1.0,higher is better,%,1,0.17,0.78,0.78,3,2023
11,2023APR,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,ALE,Recall ALE,"19,249.00","26,059.00",0.74,0.61,1.0,higher is better,%,1,0.13,0.74,0.74,4,2023
12,2023JAN,IN,IND - Indore City - Rangreza,Current WFH,Frontier BI,BI - Political,Accuracy,"82,599.00","88,708.00",0.93,0.87,1.0,higher is better,%,1,0.06,0.93,0.93,1,2023
13,2023JAN,IN,IND - Indore City - Rangreza,Onsite,Frontier BI,BI - Political,Accuracy,"4,109.00","4,435.00",0.93,0.87,1.0,higher is better,%,1,0.06,0.93,0.93,1,2023
14,2023JAN,SEA,PHL - Quezon City - Chateau Ridiculous,Onsite,Frontier BI,BI - Political,Accuracy,189.00,205.00,0.92,0.87,1.0,higher is better,%,1,0.05,0.92,0.92,1,2023
15,2023JAN,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,BI - Political,Accuracy,"122,247.00","131,459.00",0.93,0.87,1.0,higher is better,%,1,0.06,0.93,0.93,1,2023
16,2023FEB,IN,IND - Indore City - Rangreza,Current WFH,Frontier BI,BI - Political,Accuracy,"68,588.00","75,321.00",0.91,0.87,1.0,higher is better,%,1,0.04,0.91,0.91,2,2023
17,2023FEB,IN,IND - Indore City - Rangreza,Onsite,Frontier BI,BI - Political,Accuracy,"3,019.00","3,317.00",0.91,0.87,1.0,higher is better,%,1,0.04,0.91,0.91,2,2023
18,2023FEB,SEA,PHL - Quezon City - Chateau Ridiculous,Current WFH,Frontier BI,BI - Political,Accuracy,"1,063.00","1,302.00",0.82,0.87,0.0,higher is better,%,0,-0.05,0.82,0.82,2,2023
